"ID";"ClassOfVehicleAge";"Periods";"TotalRoadVehicles_1";"PassengerCar_2";"TotalCommercialVehicles_3";"TotalCommercialMotorVehicles_4";"DeliveryVan_5";"Lorry_6";"RoadTractor_7";"SpecialPurposeVehicle_8";"Bus_9";"TotalTrailersAndSemiTrailers_10";"Trailer_11";"SemiTrailer_12";"Motorcycle_13"
"29";"A028285";"2007JJ00";"  622726";"  473751";"  135072";"   84028";"   63733";"    5911";"   11847";"    1760";"     777";"   51044";"   40370";"   10674";"   13903"
"30";"A028285";"2008JJ00";"  662724";"  494904";"  152412";"   96622";"   79533";"    5129";"    9115";"    1711";"    1134";"   55790";"   41114";"   14676";"   15408"
"31";"A028285";"2009JJ00";"  661001";"  489283";"  155729";"  103212";"   83074";"    6231";"   10806";"    1883";"    1218";"   52517";"   38402";"   14115";"   15989"
"32";"A028285";"2010JJ00";"  493410";"  381581";"   98350";"   63477";"   50065";"    5038";"    5757";"    1450";"    1167";"   34873";"   29311";"    5562";"   13479"
"33";"A028285";"2011JJ00";"  581431";"  477391";"   92685";"   59409";"   48834";"    3717";"    5107";"    1065";"     686";"   33276";"   27267";"    6009";"   11355"
"34";"A028285";"2012JJ00";"  661984";"  547531";"  104408";"   69611";"   57061";"    3739";"    7061";"    1162";"     588";"   34797";"   27414";"    7383";"   10045"
"35";"A028285";"2013JJ00";"  599134";"  492394";"   97458";"   66947";"   54785";"    3348";"    7024";"    1019";"     771";"   30511";"   23174";"    7337";"    9282"
"36";"A028285";"2014JJ00";"  504160";"  405807";"   89962";"   61944";"   49152";"    3064";"    7893";"    1243";"     592";"   28018";"   20046";"    7972";"    8391"
"37";"A028285";"2015JJ00";"  480663";"  379076";"   91991";"   60528";"   50340";"    2503";"    6187";"     846";"     652";"   31463";"   21511";"    9952";"    9596"
"38";"A028285";"2016JJ00";"  545049";"  429331";"  105084";"   69385";"   56306";"    3236";"    8376";"    1133";"     334";"   35699";"   23435";"   12264";"   10634"
"39";"A028285";"2017JJ00";"  500091";"  366968";"  121464";"   83868";"   68783";"    3996";"    8896";"    1363";"     830";"   37596";"   25487";"   12109";"   11659"
"40";"A028285";"2018JJ00";"  543805";"  402520";"  129596";"   86822";"   72280";"    3986";"    8401";"    1275";"     880";"   42774";"   28531";"   14243";"   11689"
"41";"A028285";"2019JJ00";"  580122";"  431392";"  136757";"   92614";"   77161";"    4406";"    8974";"    1504";"     569";"   44143";"   29816";"   14327";"   11973"
"42";"A028285";"2020JJ00";"  579241";"  433208";"  133201";"   89692";"   73780";"    4759";"    8590";"    1662";"     901";"   43509";"   31105";"   12404";"   12832"
"43";"A028285";"2021JJ00";"  469259";"  344431";"  111167";"   70154";"   59259";"    3471";"    5505";"    1294";"     625";"   41013";"   31565";"    9448";"   13661"
"44";"51200  ";"2000JJ00";" 1214055";"  978456";"  207506";"  207506";"  173014";"   13719";"   16014";"    3701";"    1058";"";"";"";"   28093"
"45";"51200  ";"2001JJ00";" 1365564";" 1105672";"  228710";"  228710";"  191216";"   14554";"   17315";"    4313";"    1312";"";"";"";"   31182"
"46";"51200  ";"2002JJ00";" 1426696";" 1161534";"  229307";"  229307";"  191473";"   14538";"   16759";"    4907";"    1630";"";"";"";"   35855"
"47";"51200  ";"2003JJ00";" 1329969";" 1082117";"  212724";"  212724";"  175024";"   13874";"   17413";"    4764";"    1649";"";"";"";"   35128"
"48";"51200  ";"2004JJ00";" 1325999";" 1001137";"  292044";"  193931";"  160027";"   12214";"   15804";"    4452";"    1434";"   98113";"   83525";"   14588";"   32818"
